Days until rate decision,Blmbrg odds minus Poly odds, Abs value
48,-11.6,11.6
47,3.8,3.8
44,10,10
43,5.5,5.5
42,32.1,32.1
41,29.95,29.95
40,31.95,31.95
37,32.85,32.85
36,41.05,41.05
35,38.45,38.45
34,39.05,39.05
33,37.85,37.85
30,-6.4,6.4
29,-2.95,2.95
28,-1.25,1.25
27,3.45,3.45
26,4.45,4.45
23,2.8,2.8
22,3.65,3.65
21,1.8,1.8
20,1.75,1.75
19,0.85,0.85
16,1,1
15,1.2,1.2
14,-0.6,0.6
13,0.15,0.15
12,0.85,0.85
9,1.55,1.55
8,2.2,2.2
7,-0.2,0.2
6,-0.85,0.85
5,0.2,0.2
2,0.3,0.3
1,-0.05,0.05
0,0.35,0.35
48,23.1,23.1
47,58.6,58.6
44,45.9,45.9
43,20.6,20.6
42,28.9,28.9
41,12.4,12.4
40,7.6,7.6
37,26.1,26.1
36,25.6,25.6
35,8.1,8.1
34,8.1,8.1
33,18.1,18.1
30,9.9,9.9
29,19.4,19.4
28,19.9,19.9
27,2.9,2.9
26,18.4,18.4
23,6.9,6.9
22,10.4,10.4
21,11.9,11.9
20,7.4,7.4
19,9.4,9.4
16,10.3,10.3
15,17,17
14,21.7,21.7
13,4.3,4.3
12,0,0
9,5.3,5.3
8,10,10
7,-6,6
6,29.2,29.2
5,22.7,22.7
2,28.3,28.3
1,7.3,7.3
0,8.3,8.3
94,1.3,1.3
93,-8.6,8.6
92,5.1,5.1
91,-5.2,5.2
90,-7.8,7.8
87,-9.8,9.8
86,13.2,13.2
85,5.5,5.5
84,-7.6,7.6
83,-1.9,1.9
80,-4.4,4.4
79,3,3
78,23.2,23.2
77,6.6,6.6
76,16.5,16.5
73,8.1,8.1
72,10.2,10.2
71,8.7,8.7
70,2.6,2.6
69,5.2,5.2
66,1.4,1.4
65,4,4
64,17.2,17.2
63,10.6,10.6
62,19.9,19.9
59,12.5,12.5
58,11,11
57,-3,3
56,5.3,5.3
55,7.7,7.7
52,4.2,4.2
51,1.1,1.1
50,-4,4
49,12.5,12.5
48,17.3,17.3
45,5.4,5.4
44,19.7,19.7
43,13.2,13.2
42,-0.2,0.2
41,8.4,8.4
38,-9.5,9.5
37,8.2,8.2
36,2.8,2.8
35,3,3
34,-29.2,29.2
31,-25.1,25.1
30,-21.5,21.5
29,-25.7,25.7
28,-22.1,22.1
27,-18.2,18.2
24,-21.8,21.8
23,-10.3,10.3
22,-9.9,9.9
21,-12.5,12.5
20,-9.5,9.5
17,-17.45,17.45
16,-12.8,12.8
15,-13.4,13.4
14,-10.65,10.65
13,-10.15,10.15
10,-9.95,9.95
9,-8.25,8.25
8,-11.7,11.7
7,-12.2,12.2
6,-8.75,8.75
3,-5.4,5.4
2,-4.75,4.75
1,-3.65,3.65
0,-2.3,2.3
